address,latitude,longitude,city,state,postal_code,price,price_sqft,#bedrooms,#bathrooms,sqft,url
4855 Ivy Ridge Dr SE UNIT 104,33.84298,-84.48309,Atlanta,GA,30339,250000,,2,2.5,--,https://www.zillow.com/homedetails/4855-Ivy-Ridge-Dr-SE-UNIT-104-Atlanta-GA-30339/2094823915_zpid/
4855 Ivy Ridge Dr SE UNIT 402,33.843278,-84.483146,ATLANTA,GA,30339,205000,169,1,1.5,1213,https://www.zillow.com/homedetails/4855-Ivy-Ridge-Dr-SE-UNIT-402-Atlanta-GA-30339/69327954_zpid/
4855 Ivy Ridge Dr SE UNIT 405,33.843278,-84.483146,ATLANTA,GA,30339,325000,117,3,3,2974,https://www.zillow.com/homedetails/4855-Ivy-Ridge-Dr-SE-UNIT-405-Atlanta-GA-30339/69327221_zpid/
4856 Albany Way,33.7102,-84.5341,Atlanta,GA,30331,319566,93,5,4,3400,https://www.zillow.com/homedetails/4856-Albany-Way-Atlanta-GA-30331/2092527985_zpid/
4857 Payson Ter SE # 3,33.832841,-84.482897,ATLANTA,GA,30339,284000,155,2,3,1824,https://www.zillow.com/homedetails/4857-Payson-Ter-SE-3-Atlanta-GA-30339/61951418_zpid/
4858 Payson Ter SE UNIT 2,33.834975,-84.480986,Atlanta,GA,30339,299900,135,3,4,2208,https://www.zillow.com/homedetails/4858-Payson-Ter-SE-UNIT-2-Atlanta-GA-30339/61951408_zpid/
486 Lakeshore Dr NE,33.767495,-84.325672,ATLANTA,GA,30307,625000,200,5,3,3122,https://www.zillow.com/homedetails/486-Lakeshore-Dr-NE-Atlanta-GA-30307/14478456_zpid/
486 W Ontario Ave SW,33.741951,-84.439334,ATLANTA,GA,30310,208000,217,4,3,1588,https://www.zillow.com/homedetails/486-W-Ontario-Ave-SW-Atlanta-GA-30310/82623792_zpid/
4860 Adams Rd,33.939164,-84.303227,ATLANTA,GA,30338,580000,243,4,3,2380,https://www.zillow.com/homedetails/4860-Adams-Rd-Atlanta-GA-30338/14582530_zpid/
4864 Payson Ter SE UNIT 2,33.836008,-84.482935,Atlanta,GA,30339,286000,156,4,4,1824,https://www.zillow.com/homedetails/4864-Payson-Ter-SE-UNIT-2-Atlanta-GA-30339/61951411_zpid/
4865 Northway Dr,33.887633,-84.361532,SANDY SPRINGS,GA,30342,440000,198,3,2.5,2216,https://www.zillow.com/homedetails/4865-Northway-Dr-Sandy-Springs-GA-30342/35926925_zpid/
4865 Promenade Dr SW,33.709645,-84.546109,ATLANTA,GA,30331,163000,79,4,3,2056,https://www.zillow.com/homedetails/4865-Promenade-Dr-SW-Atlanta-GA-30331/35889153_zpid/
