latitude,longitude,city,state,postal_code
33.833437,-84.344821,Atlanta,GA,30324
33.802951,-84.347239,Atlanta,GA,30306
33.787316,-84.369877,Atlanta,GA,30306
33.863223,-84.279947,Atlanta,GA,30345
33.844496,-84.392741,Atlanta,GA,30305
33.831226,-84.372944,Atlanta,GA,30305
33.84967,-84.387301,Atlanta,GA,30305
33.798657,-84.362024,Atlanta,GA,30324
33.789252,-84.331098,Atlanta,GA,30307
33.783638,-84.382825,Atlanta,GA,30309
33.855882,-84.283307,Atlanta,GA,30345
33.785287,-84.354552,Atlanta,GA,30306
33.886007,-84.366195,Atlanta,GA,30342
33.877204,-84.377075,Atlanta,GA,30342
33.82992,-84.44438,Atlanta,GA,30318
33.773683,-84.380567,Atlanta,GA,30308
33.823645,-84.386028,Atlanta,GA,30305
33.834283,-84.365213,Atlanta,GA,30305
33.86141,-84.474295,Atlanta,GA,30339
33.858557,-84.364188,Atlanta,GA,30342
33.774094,-84.378532,Atlanta,GA,30308
33.822421,-84.405054,Atlanta,GA,30305
33.827468,-84.388032,Atlanta,GA,30305
33.85239,-84.262747,Atlanta,GA,30345
33.850572,-84.469678,Atlanta,GA,30339
33.845832,-84.386065,Atlanta,GA,30305
33.876513,-84.384831,Atlanta,GA,30342
33.771494,-84.357696,Atlanta,GA,30306
33.82827,-84.373934,Atlanta,GA,30305
33.795045,-84.350058,Atlanta,GA,30306
33.823858,-84.445875,Atlanta,GA,30318
33.780846,-84.343242,Atlanta,GA,30306
33.823232,-84.413982,Atlanta,GA,30305
33.866869,-84.457528,Atlanta,GA,30339
33.758568,-84.352675,Atlanta,GA,30307
33.776318,-84.358445,Atlanta,GA,30306
33.832429,-84.358185,Atlanta,GA,30324
33.832972,-84.382012,Atlanta,GA,30305
33.788057,-84.338523,Atlanta,GA,30306
33.764641,-84.346029,Atlanta,GA,30307
33.866666,-84.459785,Atlanta,GA,30339
33.798392,-84.349074,Atlanta,GA,30306
33.813408,-84.4115,Atlanta,GA,30318
33.929048,-84.384881,Atlanta,GA,30328
33.839238,-84.292279,Atlanta,GA,30345
33.772082,-84.355503,Atlanta,GA,30306
33.857798,-84.365274,Atlanta,GA,30342
33.760295,-84.360137,Atlanta,GA,30307
33.762549,-84.36085,Atlanta,GA,30312
