title,address,latitude,longitude,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
House For Sale,1062 Fairburn Rd NW,33.778984,-84.507386,Atlanta,GA,30331,"$135,000 ",3,2,"1,222",PalmerHouse Properties & Assoc,https://www.zillow.com/homedetails/1062-Fairburn-Rd-NW-Atlanta-GA-30331/35854325_zpid/
House For Sale,3588 Indian Rock Rd SW,33.67918,-84.505614,Atlanta,GA,30331,"$175,000 ",3,2,"1,275",,https://www.zillow.com/homedetails/3588-Indian-Rock-Rd-SW-Atlanta-GA-30331/35874293_zpid/
House For Sale,195 Brownlee Rd SW,33.751254,-84.500458,Atlanta,GA,30331,"$90,000 ",5,3,"1,112",,https://www.zillow.com/homedetails/195-Brownlee-Rd-SW-Atlanta-GA-30331/35872740_zpid/
House For Sale,5160 Cascade Hills Cir SW,33.725136,-84.561286,Atlanta,GA,30331,"$193,000 ",4,3,"2,125",Jar House LLC,https://www.zillow.com/homedetails/5160-Cascade-Hills-Cir-SW-Atlanta-GA-30331/35891705_zpid/
House For Sale,405 Carondelett Cv SW,33.737333,-84.542522,Atlanta,GA,30331,"$510,000 ",6,6,"4,035",,https://www.zillow.com/homedetails/405-Carondelett-Cv-SW-Atlanta-GA-30331/65441661_zpid/
House For Sale,677 Plainville Dr SW,33.742353,-84.521274,Atlanta,GA,30331,"$249,900 ",4,3,"3,583",BHGRE METRO BROKERS,https://www.zillow.com/homedetails/677-Plainville-Dr-SW-Atlanta-GA-30331/65449509_zpid/
House For Sale,5145 Kerry Dr SW,33.6916,-84.556432,Atlanta,GA,30331,"$147,900 ",3,3,"1,876",E Pro Realty LLC,https://www.zillow.com/homedetails/5145-Kerry-Dr-SW-Atlanta-GA-30331/65451579_zpid/
House For Sale,1 Cascade Pointe Dr SW,33.731934,-84.540474,Atlanta,GA,30331,"$1,399,900 ",6,7,"11,817",,https://www.zillow.com/homedetails/1-Cascade-Pointe-Dr-SW-Atlanta-GA-30331/65450361_zpid/
Townhouse For Sale,713 Celeste Ln SW,33.742669,-84.505985,Atlanta,GA,30331,"$80,000 ",3,3,"1,534",,https://www.zillow.com/homedetails/713-Celeste-Ln-SW-Atlanta-GA-30331/71557914_zpid/
New Construction,2329 Barrington Trace Cir SW,33.686078,-84.550074,Atlanta,GA,30331,"$409,900 ",5,5,"3,961",,https://www.zillow.com/homedetails/2329-Barrington-Trace-Cir-SW-Atlanta-GA-30331/2092016764_zpid/
New Construction,2393 Barrington Trace Cir SW,33.688365,-84.549225,Atlanta,GA,30331,"$411,900 ",5,5,"4,012",,https://www.zillow.com/homedetails/2393-Barrington-Trace-Cir-SW-Atlanta-GA-30331/97999373_zpid/
